# # k [h/Mpc]  P_LCDM [(Mpc/h)^3]  P_SRC [(Mpc/h)^3]  deltaP_over_P
# # z = 0.5
1.0422083430e-05 2.8673848744e+01 2.8673425950e+01 -1.4744949260e-05
1.5105061479e-02 1.4853072421e+04 1.4852813393e+04 -1.7439293152e-05
3.0199700874e-02 1.1911023701e+04 1.1910807781e+04 -1.8127746602e-05
4.5294340269e-02 8.1771520081e+03 8.1770024281e+03 -1.8292437367e-05
6.0388979665e-02 6.5791053193e+03 6.5789879988e+03 -1.7832297691e-05
7.5483619060e-02 5.3991049773e+03 5.3990115736e+03 -1.7299841143e-05
9.0578258455e-02 4.0065676906e+03 4.0064917794e+03 -1.8946701864e-05
1.0567289785e-01 3.0667667916e+03 3.0667113267e+03 -1.8085794010e-05
1.2076753725e-01 2.6689138631e+03 2.6688639910e+03 -1.8686283202e-05
1.3586217664e-01 2.3278095199e+03 2.3277685704e+03 -1.7591427132e-05
1.5095681604e-01 1.8788667059e+03 1.8788313255e+03 -1.8830725206e-05
1.6605145543e-01 1.5364350706e+03 1.5364079259e+03 -1.7667320925e-05
1.8114609483e-01 1.3678412293e+03 1.3678165288e+03 -1.8057955870e-05
1.9624073422e-01 1.2360203089e+03 1.2359984874e+03 -1.7654690353e-05
2.1133537362e-01 1.0619457629e+03 1.0619255027e+03 -1.9078303989e-05
2.2643001301e-01 9.0747195161e+02 9.0745328397e+02 -2.0571039253e-05
2.4152465241e-01 8.1267475588e+02 8.1265980612e+02 -1.8395735970e-05
2.5661929180e-01 7.4449882786e+02 7.4448464327e+02 -1.9052534716e-05
2.7171393120e-01 6.6693187020e+02 6.6691949690e+02 -1.8552572593e-05
2.8680857059e-01 5.8976256777e+02 5.8975187903e+02 -1.8123805478e-05
3.0190320999e-01 5.3269658644e+02 5.3268699978e+02 -1.7996463267e-05
3.1699784938e-01 4.9058109523e+02 4.9057320417e+02 -1.6085141611e-05
3.3209248878e-01 4.4940096199e+02 4.4939361943e+02 -1.6338550460e-05
3.4718712818e-01 4.0792944212e+02 4.0792235987e+02 -1.7361455548e-05
3.6228176757e-01 3.7269786768e+02 3.7269032278e+02 -2.0244014369e-05
3.7737640697e-01 3.4482781155e+02 3.4482138337e+02 -1.8641725080e-05
3.9247104636e-01 3.1962957031e+02 3.1962357373e+02 -1.8761022433e-05
4.0756568576e-01 2.9519583944e+02 2.9519051162e+02 -1.8048431157e-05
4.2266032515e-01 2.7298859065e+02 2.7298360028e+02 -1.8280530207e-05
4.3775496455e-01 2.5396146954e+02 2.5395710820e+02 -1.7173255294e-05
4.5284960394e-01 2.3718976589e+02 2.3718545190e+02 -1.8187920242e-05
4.6794424334e-01 2.2148445988e+02 2.2148029760e+02 -1.8792659189e-05
4.8303888273e-01 2.0684153529e+02 2.0683806203e+02 -1.6791924628e-05
4.9813352213e-01 1.9370388487e+02 1.9370046540e+02 -1.7653084940e-05
5.1322816152e-01 1.8196825790e+02 1.8196512620e+02 -1.7210162292e-05
5.2832280092e-01 1.7115474035e+02 1.7115159789e+02 -1.8360358647e-05
5.4341744031e-01 1.6104986142e+02 1.6104708943e+02 -1.7211982652e-05
5.5851207971e-01 1.5177394629e+02 1.5177126241e+02 -1.7683425653e-05
5.7360671910e-01 1.4353919909e+02 1.4353670247e+02 -1.7393304361e-05
5.8870135850e-01 1.3559565226e+02 1.3559329822e+02 -1.7360765177e-05
6.0379599789e-01 1.2851158327e+02 1.2850932109e+02 -1.7602953690e-05
6.1889063729e-01 1.2160534123e+02 1.2160319544e+02 -1.7645500046e-05
