# R9 BAO diagnostics table
# Columns:
# z  D_H_LCDM[Mpc]  D_H_SRC[Mpc]  delta_DH_over_DH  D_M_LCDM[Mpc]  D_M_SRC[Mpc]  delta_DM_over_DM  D_V_LCDM[Mpc]  D_V_SRC[Mpc]  delta_DV_over_DV
   0.106     1.258354e+09     1.256257e+09    -1.666923e-03     1.212120e+03     1.212091e+03    -2.431247e-05     5.808536e+04     5.805213e+04    -5.721493e-04
   0.150     1.229821e+09     1.228024e+09    -1.461238e-03     1.207826e+03     1.207804e+03    -1.883032e-05     6.456257e+04     6.453029e+04    -4.998644e-04
   0.380     1.080476e+09     1.080074e+09    -3.722006e-04     1.185794e+03     1.185791e+03    -2.788822e-06     8.326693e+04     8.325644e+04    -1.259413e-04
   0.510     9.997949e+08     9.996930e+08    -1.019672e-04     1.173801e+03     1.173800e+03    -6.154810e-07     8.889760e+04     8.889454e+04    -3.440054e-05
   0.610     9.410038e+08     9.409754e+08    -3.017746e-05     1.164857e+03     1.164857e+03    -1.596071e-07     9.200726e+04     9.200632e+04    -1.016566e-05
#
# Sound horizon diagnostics (from R5 logs):
# r_s_LCDM = 147.071614 Mpc
# r_s_SRC  = 147.071614 Mpc
# delta_rs_over_rs = 0.000000e+00
